shipid,cargid ,convid,convType,EntryMonth,EntryDay,fromport,NotePort,fromportJP,province,cargtype,cargqual,cargqualJP,cargquant,UoM,NoteCarg,Taxid,taxAmountKanmon,taxPayMonth,taxPayDay,NoteSekiryo,LaissezPasser1,Volume concerné1,LaissezPasser2,Volume concerné2,LaissezPasser3,Volume concerné3,LaissezPasser4,Volume concerné4,LaissezPasser5,Volume concerné5,Libellé,Note laissez-passer,capid,capname,capnameJP,NoteCap,agentid,agentname,agentnameJP,agentNote,Latitude,Longitude,note
549,763,,null,6,16,Yanai,,楊井,Suō,rice,riz,米・コメ,500,koku,サヌキ斗,483,1.845 ,7,4,才公事一貫八百四十五文,Ōuchi,101,Asō,95.5,Shōkokuji,165.5,null,null,null,null,"過書百壱石大内殿
九十五石五斗麻生殿
百六十五石五斗大智院過書",Shōkokuji (Daichi.in) ,250,Shirozaemon,四郎左衛門,,TOI44,Sezen,世善,,33.964917,132.107528,
550,764,,,6,17,Sanbonmatsu,,三本松,Sanuki,beans,komemame,米マメ,30,koku,,100 000,0.000 ,0,0,,Kanrei,1000,null,null,null,null,null,null,null,null,管領千石内,,234,Shichirozaemon,七郎左衛門,枝舟,TOI14,Emontaro,衛門太郎,,34.253222,134.338778,
550,765,,,6,17,Sanbonmatsu,,三本松,Sanuki,cereals,amari kome mugi,余米麦,3,koku,サヌキ斗,100 000,0.000 ,0,0,,Kanrei,1000,null,null,null,null,null,null,null,null,管領千石内,,234,Shichirozaemon,七郎左衛門,枝舟,TOI14,Emontaro,衛門太郎,,34.253222,134.338778,
551,766,100,B,6,18,Yura,,由良,Awaji,wood/construction materials,bois brut,榑・クレ,130,kokume,,484,0.400 ,6,27,,null,null,null,null,null,null,null,null,null,null,null,,65,Hyoejiro1,兵衛二郎,Utsumi 内海,TOI30,Kiya,木屋・木や,,34.29225,134.944639,
552,767,100,B,6,18,Yura,,由良,Awaji,wood/construction materials,bois brut,榑・クレ,80,kokume,,485,0.260 ,8,1,,null,null,null,null,null,null,null,null,null,null,null,,129,Kohyoejiro,小兵衛二郎,,TOI30,Kiya,木屋・木や,,34.29225,134.944639,
553,768,100,B,6,18,Yura,,由良,Awaji,wood/construction materials,bois brut,榑・クレ,160,kokume,,486,0.445 ,7,9,,null,null,null,null,null,null,null,null,null,null,null,,206,Saemonjiro1,左衛門二郎,,TOI30,Kiya,木屋・木や,,34.29225,134.944639,
554,769,100,B,6,18,Yura,,由良,Awaji,wood/construction materials,bois brut,榑・クレ,80,kokume,,487,0.260 ,8,1,,null,null,null,null,null,null,null,null,null,null,null,,108,Kanimori,掃部,林,TOI30,Kiya,木屋・木や,,34.29225,134.944639,
555,770,101,C_1,6,18,Hyōgo,,兵庫（地下）,Settsu,wood/construction materials,bois brut,榑・クレ,70,kokume,,488,0.220 ,9,20,,null,null,null,null,null,null,null,null,null,null,null,,276,Taro,太郎,中屋,0,Aucun,null,,34.669639,135.174528,
556,771,101,C_1,6,18,Hyōgo,,兵庫（地下）,Settsu,miscellaneous,pierres à aiguiser,砥石,8,kokume,,489,0.085 ,6,18,,null,null,null,null,null,null,null,null,null,null,null,,280,Tarogoro,太郎五郎,,0,Aucun,null,,34.669639,135.174528,
556,772,101,C_1,6,18,Hyōgo,,兵庫（地下）,Settsu,oilseeds,goma (sésame?),コマ・胡麻,1,koku,,489,0.085 ,6,18,,null,null,null,null,null,null,null,null,null,null,null,,280,Tarogoro,太郎五郎,,0,Aucun,null,,34.669639,135.174528,
557,773,101,C_1,6,18,Hyōgo,,兵庫（地下）,Settsu,cereals,orge,大麦,3,koku,サヌキ斗,490,0.065 ,6,18,,null,null,null,null,null,null,null,null,null,null,null,,215,Sakaizaburo,堺三郎,,0,Aucun,null,,34.669639,135.174528,
558,774,101,C_1,6,19,Hyōgo,,兵庫（地下）,Settsu,cereals,orge,大麦,10,koku,五斗俵,491,0.120 ,6,19,,null,null,null,null,null,null,null,null,null,null,null,,93,Jirotaro1,二郎太郎,,0,Aucun,null,,34.669639,135.174528,
559,775,101,C_1,6,19,Hyōgo,,兵庫（地下）,Settsu,cereals,orge,大麦,3,koku,,492,0.150 ,6,19,,null,null,null,null,null,null,null,null,null,null,null,,67,Hyoekuro,兵衛九郎,嶋上,0,Aucun,null,,34.669639,135.174528,
559,776,101,C_1,6,19,Hyōgo,,兵庫（地下）,Settsu,salt,Kojima,小嶋・小シマ,18,koku,,492,0.150 ,6,19,,null,null,null,null,null,null,null,null,null,null,null,,67,Hyoekuro,兵衛九郎,嶋上,0,Aucun,null,,34.669639,135.174528,
560,777,,null,6,19,Shima,,嶋,Sanuki,cereals,ble;froment,小麦,80,koku,五斗俵,493,1.545 ,6,27,,null,null,null,null,null,null,null,null,null,null,null,,303,Tokimatsu,時松,,TOI6,Donen,道念,,34.482111,134.312722,
560,778,,null,6,19,Shima,,嶋,Sanuki,cereals,orge,大麦,100,koku,五斗俵,493,1.545 ,6,27,,null,null,null,null,null,null,null,null,null,null,null,,303,Tokimatsu,時松,,TOI6,Donen,道念,,34.482111,134.312722,
561,779,102,C_2,6,20,Hyōgo,,兵庫（地下）,Settsu,cereals,orge,大麦,35,koku,淡路斗,494,0.660 ,7,2,,null,null,null,null,null,null,null,null,null,null,null,,71,Hyoetaro,兵衛太郎,十文銭,0,Aucun,null,,34.669639,135.174528,
561,780,102,C_2,6,20,Hyōgo,,兵庫（地下）,Settsu,cereals,ble;froment,小麦,25,koku,淡路斗,494,0.660 ,7,2,,null,null,null,null,null,null,null,null,null,null,null,,71,Hyoetaro,兵衛太郎,十文銭,0,Aucun,null,,34.669639,135.174528,
561,781,102,C_2,6,20,Hyōgo,,兵庫（地下）,Settsu,tinctorial plants and wood/dyeing materials,indigo d’Extrême-Orient,藍・アヰ,10,koku,,494,0.660 ,7,2,,null,null,null,null,null,null,null,null,null,null,null,,71,Hyoetaro,兵衛太郎,十文銭,0,Aucun,null,,34.669639,135.174528,
562,782,102,C_2,6,20,Hirashima,,平嶋,Awa,wood/construction materials,planches,材木,160,kokume,内檜木物三分一,495,0.620 ,6,28,,null,null,null,null,null,null,null,null,null,null,null,,71,Hyoetaro,兵衛太郎,,TOI14,Emontaro,衛門太郎,,33.94325,134.662806,ici Emontaro en tant qu'agent pour une partie de ce qui semble être un convoi : voir jour suivant Emontaro en tant que capitaine dans ce qui semble être un convoi
563,783,,null,6,20,Yura,,由良,Awaji,wood/construction materials,bois brut,榑・クレ,130,kokume,,496,0.380 ,6,26,,null,null,null,null,null,null,null,null,null,null,null,,95,Jirozaburo1,二郎三郎,,TOI30,Kiya,木屋・木や,,34.29225,134.944639,
564,784,,null,6,20,Banda,,番田,Bizen,fishery,méduses,クラケ・海月,100,go,,497,0.090 ,6,19,,null,null,null,null,null,null,null,null,null,null,null,,74,Hyogo,兵庫,,TOI12,Emonkuro,衛門九郎,,34.564611,134.025639,
564,785,,null,6,20,Banda,,番田,Bizen,cereals,ble;froment,小麦,1,koku,,497,0.090 ,6,19,,null,null,null,null,null,null,null,null,null,null,null,,74,Hyogo,兵庫,,TOI12,Emonkuro,衛門九郎,,34.564611,134.025639,
565,786,,null,6,20,Kōri,,郡,Bizen,metal,fer B,銕,10,kan,,498,0.145 ,6,19,,null,null,null,null,null,null,null,null,null,null,null,,198,Saburojiro1,三郎二郎,,TOI46,Shozu,正津,,34.582583,133.96175,
566,787,,null,6,21,Matsue,,松江,Harima,salt,Mihara,三原・三ハら,80,koku,,499,0.260 ,6,25,,null,null,null,null,null,null,null,null,null,null,null,,71,Hyoetaro,兵衛太郎,,TOI30,Kiya,木屋・木や,,34.653583,134.959111,
567,788,,null,6,21,Mihara,,三原,Bingo,salt,shio,シヨ・塩・シヲ・シホ,60,koku,,500,0.220 ,6,25,,null,null,null,null,null,null,null,null,null,null,null,,61,Hirauchi,平内,,TOI8,Doyu,道祐,,34.397739,133.078049,
568,789,,null,6,21,Hyōgo,,兵庫（地下）,Settsu,algae,arame,荒布・アラメ,50,kokume,,501,0.150 ,9,1,,null,null,null,null,null,null,null,null,null,null,null,,87,Jiroemon,二郎衛門,豊後屋,0,Aucun,null,,34.669639,135.174528,
569,790,103,C_2,6,21,Hyōgo,,兵庫（地下）,Settsu,wood/construction materials,bois brut,榑・クレ,150,kokume,,502,0.430 ,7,29,,null,null,null,null,null,null,null,null,null,null,null,,22,Emontaro,衛門太郎,圓教,0,Aucun,null,,34.669639,135.174528,ici Emontaro en tant que capitaine dans ce qui semble être un convoi: voir jour précédent Emontaro en tant qu'agent pour une partie de ce qui semble être un convoi
570,791,103,C_2,6,21,Hibi,,日比,Bizen,cereals,orge,大麦,40,koku,五斗俵,503,0.445 ,6,27,,null,null,null,null,null,null,null,null,null,null,null,,22,Emontaro,衛門太郎,,TOI4,Dokan,道観,,34.459278,133.925417,
570,792,103,C_2,6,21,Hibi,,日比,Bizen,cereals,ble;froment,小麦,10,koku,五斗俵,,,,,,null,null,null,null,null,null,null,null,null,null,null,,22,Emontaro,衛門太郎,,TOI4,Dokan,道観,,34.459278,133.925417,
571,793,104,B,6,21,Yura,,由良,Awaji,wood/construction materials,bois brut,榑・クレ,100,kokume,,504,0.300 ,6,27,,null,null,null,null,null,null,null,null,null,null,null,,295,Tayutaro,大夫太郎,,TOI30,Kiya,木屋・木や,,34.29225,134.944639,
572,794,104,B,6,21,Yura,,由良,Awaji,wood/construction materials,bois brut,榑・クレ,180,kokume,,505,0.500 ,6,25,,null,null,null,null,null,null,null,null,null,null,null,,312,Ukonjiro,右近二郎,,TOI30,Kiya,木屋・木や,,34.29225,134.944639,
573,795,104,B,6,21,Yura,,由良,Awaji,wood/construction materials,bois brut,榑・クレ,170,kokume,,506,0.490 ,6,25,,null,null,null,null,null,null,null,null,null,null,null,,111,Kanimoritaro,掃部太郎,Amuro 庵室,TOI30,Kiya,木屋・木や,,34.29225,134.944639,
574,796,104,B,6,21,Yura,,由良,Awaji,wood/construction materials,bois brut,榑・クレ,200,kokume,,507,0.560 ,6,27,,null,null,null,null,null,null,null,null,null,null,null,,198,Saburojiro1,三郎二郎,仝→庵室,TOI30,Kiya,木屋・木や,,34.29225,134.944639,
575,797,,,6,22,Hyōgo,,兵庫（地下）,Settsu,oilseeds,goma (sésame?),コマ・胡麻,10,koku,サヌキ斗,508,0.260 ,6,26,,null,null,null,null,null,null,null,null,null,null,null,,215,Sakaizaburo,堺三郎,,0,Aucun,null,,34.669639,135.174528,
576,798,,,6,22,Kaifu,,海部,Awa,wood/construction materials,bois brut,榑・クレ,150,kokume,,509,0.430 ,6,26,,null,null,null,null,null,null,null,null,null,null,null,,253,Shokan Hyoetaro,庄官兵衛太郎,,TOI25,Jirozaburo1,二郎三郎,,33.59425,134.355417,
577,799,,,6,23,Hyōgo,,兵庫（地下）,Settsu,salt,Shiwaku,塩飽・シハク・しわく・志わく,80,koku,,200 000,,,,,null,null,null,null,null,null,null,null,null,null,null,,14,Emongoro,衛門五郎,中辻子,0,Aucun,null,,34.669639,135.174528,
578,800,105,B_1,6,23,Tsurajima,,連嶋,Bitchū,cereals,ble;froment,小麦,30,koku,五斗俵,510,0.600 ,6,25,,null,null,null,null,null,null,null,null,null,null,null,,48,Hachirotaro,八郎太郎,,TOI8,Doyu,道祐,,34.547,133.732694,
578,801,105,B_1,6,23,Tsurajima,,連嶋,Bitchū,cereals,orge,大麦,15,koku,五斗俵,510,0.600 ,6,25,,null,null,null,null,null,null,null,null,null,null,null,,48,Hachirotaro,八郎太郎,,TOI8,Doyu,道祐,,34.547,133.732694,
579,802,105,B_1,6,23,Shimotsui,,下津井,Bizen,salt,Shiwaku,塩飽・シハク・しわく・志わく,280,koku,,511,1.045 ,6,28,,null,null,null,null,null,null,null,null,null,null,null,,18,Emonkuro,衛門九郎,,TOI8,Doyu,道祐,,34.438083,133.797389,
579,803,105,B_1,6,23,Shimotsui,,下津井,Bizen,cereals,orge,大麦,50,koku,,511,1.045 ,6,28,,null,null,null,null,null,null,null,null,null,null,null,,18,Emonkuro,衛門九郎,,TOI8,Doyu,道祐,,34.438083,133.797389,
580,804,105,B_1,6,23,Shimotsui,,下津井,Bizen,salt,Shiwaku,塩飽・シハク・しわく・志わく,60,koku,,512,0.172 ,6,28,,null,null,null,null,null,null,null,null,null,null,null,,0,!Edabune!,枝舟,,TOI8,Doyu,道祐,,34.438083,133.797389,
581,805,105,B_1,6,23,Tsurajima,,連嶋,Bitchū,salt,Shiwaku,塩飽・シハク・しわく・志わく,30,koku,,513,1.545 ,6,27,,null,null,null,null,null,null,null,null,null,null,null,,184,Rokuro,六郎,,TOI8,Doyu,道祐,,34.547,133.732694,
581,806,105,B_1,6,23,Tsurajima,,連嶋,Bitchū,cereals,ble;froment,小麦,50,koku,五斗俵,513,1.545 ,6,27,,null,null,null,null,null,null,null,null,null,null,null,,184,Rokuro,六郎,,TOI8,Doyu,道祐,,34.547,133.732694,
581,807,105,B_1,6,23,Tsurajima,,連嶋,Bitchū,cereals,orge,大麦,70,koku,五斗俵,513,1.545 ,6,27,,null,null,null,null,null,null,null,null,null,null,null,,184,Rokuro,六郎,,TOI8,Doyu,道祐,,34.547,133.732694,
582,808,105,B_1,6,23,Shimotsui,,下津井,Bizen,salt,Shiwaku,塩飽・シハク・しわく・志わく,50,koku,,514,1.645 ,6,28,,null,null,null,null,null,null,null,null,null,null,null,,69,Hyoeshiro,兵衛四郎,,TOI8,Doyu,道祐,,34.438083,133.797389,
582,809,105,B_1,6,23,Shimotsui,,下津井,Bizen,cereals,orge,大麦,70,koku,,514,1.645 ,6,28,,null,null,null,null,null,null,null,null,null,null,null,,69,Hyoeshiro,兵衛四郎,,TOI8,Doyu,道祐,,34.438083,133.797389,
582,810,105,B_1,6,23,Shimotsui,,下津井,Bizen,cereals,ble;froment,小麦,70,koku,,514,1.645 ,6,28,,null,null,null,null,null,null,null,null,null,null,null,,69,Hyoeshiro,兵衛四郎,,TOI8,Doyu,道祐,,34.438083,133.797389,
583,811,,null,6,23,Ushimado,,牛窓,Bizen,salt,Shima,嶋,20,koku,,515,1.445 ,7,1,,null,null,null,null,null,null,null,null,null,null,null,,88,Jirogoro1,二郎五郎,道空,TOI12,Emonkuro,衛門九郎,,34.61775,134.15775,
583,812,,null,6,23,Ushimado,,牛窓,Bizen,cereals,orge,大麦,40,koku,五斗俵,515,1.445 ,7,1,,null,null,null,null,null,null,null,null,null,null,null,,88,Jirogoro1,二郎五郎,道空,TOI12,Emonkuro,衛門九郎,,34.61775,134.15775,
583,813,,null,6,23,Ushimado,,牛窓,Bizen,cereals,ble;froment,小麦,90,koku,五斗俵,515,1.445 ,7,1,,null,null,null,null,null,null,null,null,null,null,null,,88,Jirogoro1,二郎五郎,道空,TOI12,Emonkuro,衛門九郎,,34.61775,134.15775,
584,814,106,B,6,23,Mugi,,麦井・牟井・牟木,Awa,wood/construction materials,bois brut,榑・クレ,120,kokume,,516,0.350 ,6,24,,null,null,null,null,null,null,null,null,null,null,null,,79,Jibuemon,治部衛門,,TOI25,Jirozaburo1,二郎三郎,,33.669444,134.418361,
585,815,106,B,6,23,Mugi,,麦井・牟井・牟木,Awa,wood/construction materials,bois brut,榑・クレ,120,kokume,,517,0.350 ,6,24,,null,null,null,null,null,null,null,null,null,null,null,,194,Saburobei,三郎兵衛,,TOI25,Jirozaburo1,二郎三郎,,33.669444,134.418361,
586,816,,null,6,23,Tadatsu,,多田津・多々津,Sanuki,non specified taxes or dues in kind  ,non specified taxes or dues in kind  ,国料_年貢,,,,100 000,0.000 ,0,0,,Kagawa,null,null,null,null,null,null,null,null,null,香川殿国料,,127,Kizaburo,紀三郎,,TOI8,Doyu,道祐,,34.270889,133.751889,
587,817,,null,6,23,Hyōgo,,兵庫（地下）,Settsu,salt,Shiwaku,塩飽・シハク・しわく・志わく,370,koku,,518,0.880 ,9,22,,null,null,null,null,null,null,null,null,null,null,null,,198,Saburojiro1,三郎二郎,日銭屋,0,Aucun,null,,34.669639,135.174528,
588,818,,null,6,23,Kaifu,,海部,Awa,wood/construction materials,bois brut,榑・クレ,140,kokume,,519,0.400 ,6,26,,null,null,null,null,null,null,null,null,null,null,null,,203,Saburozaemon,三郎左衛門,枝舟,TOI25,Jirozaburo1,二郎三郎,,33.59425,134.355417,
589,819,,null,6,23,Shiwaku,,塩飽,Sanuki,salt,shio,シヨ・塩・シヲ・シホ,50,koku,,520,1.245 ,6,29,,null,null,null,null,null,null,null,null,null,null,null,,164,Mizusawa,水沢,,TOI12,Emonkuro,衛門九郎,,34.38775,133.783972,
589,820,,null,6,23,Shiwaku,,塩飽,Sanuki,cereals,ble;froment,小麦,50,koku,,520,1.245 ,6,29,,null,null,null,null,null,null,null,null,null,null,null,,164,Mizusawa,水沢,,TOI12,Emonkuro,衛門九郎,,34.38775,133.783972,
589,821,,null,6,23,Shiwaku,,塩飽,Sanuki,cereals,orge,大麦,50,koku,,520,1.245 ,6,29,,null,null,null,null,null,null,null,null,null,null,null,,164,Mizusawa,水沢,,TOI12,Emonkuro,衛門九郎,,34.38775,133.783972,
590,822,,null,6,23,Hyōgo,,兵庫（地下）,Settsu,wood/construction materials,planches,材木,200,kokume,,521,0.700 ,12,5,,null,null,null,null,null,null,null,null,null,null,null,,279,Taroemon,太郎衛門,,0,Aucun,null,,34.669639,135.174528,
590,823,,null,6,23,Hyōgo,,兵庫（地下）,Settsu,algae,arame,荒布・アラメ,50,kokume,,521,0.700 ,12,5,,null,null,null,null,null,null,null,null,null,null,null,,279,Taroemon,太郎衛門,,0,Aucun,null,,34.669639,135.174528,
591,824,,null,6,23,Nogami,,野上,Suō,rice,riz,米・コメ,50,koku,サヌキ斗,522,1.945 ,14,6,,null,null,null,null,null,null,null,null,null,null,null,,152,Magoshiro,孫四郎,,TOI45,Shirozaburo,四郎三郎,,34.056139,131.801139,
592,825,,null,6,23,Inunoshima,,犬嶋,Bizen,rice,riz,米・コメ,5,koku,サヌキ斗,523,0.270 ,6,26,,null,null,null,null,null,null,null,null,null,null,null,,257,Soa,惣阿,,TOI8,Doyu,道祐,,34.564583,134.103861,
592,826,,null,6,23,Inunoshima,,犬嶋,Bizen,cereals,ble;froment,小麦,13,koku,サヌキ斗,523,0.270 ,6,26,,null,null,null,null,null,null,null,null,null,null,null,,257,Soa,惣阿,,TOI8,Doyu,道祐,,34.564583,134.103861,
593,827,,null,6,23,Amagasaki,,尼崎,Settsu,beans,soja,大豆,42,koku,,100 000,0.000 ,0,0,,Iwashimizu Hachimangū,null,null,null,null,null,null,null,null,null,八幡領播磨舩曳年貢物内,Redevances domaine Funahiki (Harima),219,Sakongoro,左近五郎,,0,Aucun,null,,34.713861,135.418167,
594,828,107,B,6,24,Hiketa,,引田,Sanuki,cereals,orge,大麦,30,koku,サヌキ斗,524,0.210 ,7,10,,null,null,null,null,null,null,null,null,null,null,null,,113,Katabe,形部,,TOI14,Emontaro,衛門太郎,,34.226861,134.403528,
595,829,107,B,6,24,Hirashima,,平嶋,Awa,wood/construction materials,planches,材木,70,kokume,内檜木物三分一,525,0.300 ,7,4,,null,null,null,null,null,null,null,null,null,null,null,,141,Kurotaro,九郎太郎,,TOI14,Emontaro,衛門太郎,,33.94325,134.662806,
596,830,,null,6,24,Utatsu,,宇田津・宇多津,Sanuki,salt,Takuma,タクマ・詫間,160,koku,,526,1.110 ,6,29,,null,null,null,null,null,null,null,null,null,null,null,,247,Shirojiro,四郎二郎,,TOI20,Hotoku,法徳,,34.308389,133.825722,
596,831,,null,6,24,Utatsu,,宇田津・宇多津,Sanuki,cereals,ble;froment,小麦,30,koku,サヌキ斗,526,1.110 ,6,29,,null,null,null,null,null,null,null,null,null,null,null,,247,Shirojiro,四郎二郎,,TOI20,Hotoku,法徳,,34.308389,133.825722,
596,832,,null,6,24,Utatsu,,宇田津・宇多津,Sanuki,cereals,orge,大麦,70,koku,サヌキ斗,526,1.110 ,6,29,,null,null,null,null,null,null,null,null,null,null,null,,247,Shirojiro,四郎二郎,,TOI20,Hotoku,法徳,,34.308389,133.825722,
597,833,,null,6,24,Tonda,,富田,Suō,rice,riz,米・コメ,270,koku,サヌキ斗,527,0.645 ,6,27,余分,null,null,null,null,null,null,null,null,null,null,null,,142,Kurozaburo,九郎三郎,,TOI44,Sezen,世善,,34.074083,131.755611,
597,834,,null,6,24,Tonda,,富田,Suō,cereals,ble;froment,小麦,30,koku,サヌキ斗,527,0.645 ,6,27,余分,null,null,null,null,null,null,null,null,null,null,null,,142,Kurozaburo,九郎三郎,,TOI44,Sezen,世善,,34.074083,131.755611,
597,835,,null,6,24,Tonda,,富田,Suō,cereals,orge,大麦,100,koku,サヌキ斗,527,0.645 ,6,27,余分,null,null,null,null,null,null,null,null,null,null,null,,142,Kurozaburo,九郎三郎,,TOI44,Sezen,世善,,34.074083,131.755611,
597,836,,null,6,24,Tonda,,富田,Suō,salt,Suo,周防塩,50,koku,,527,0.645 ,6,27,余分,null,null,null,null,null,null,null,null,null,null,null,,142,Kurozaburo,九郎三郎,,TOI44,Sezen,世善,,34.074083,131.755611,
598,837,,null,6,24,Katamoto,,方本,Sanuki,non specified taxes or dues in kind  ,non specified taxes or dues in kind  ,国料_年貢,,,,100 000,0.000 ,0,0,,Sogō,null,null,null,null,null,null,null,null,null,十川殿国料,,74,Hyogo,兵庫,桜丸枝舟,TOI12,Emonkuro,衛門九郎,,34.341389,134.097861,
599,838,,null,6,25,Aboshi,,網干・アホシ,Harima,fishery,anchois,小鰯・小イハシ,13,da,,528,0.110 ,6,30,,null,null,null,null,null,null,null,null,null,null,null,,88,Jirogoro1,二郎五郎,五郎二郎大夫枝舟,TOI40,Saburotaro,三郎太郎,,34.786222,134.587361,
600,839,108,C_1,6,26,Hyōgo,,兵庫（地下）,Settsu,salt,Aga,あか・アカ・阿賀,25,koku,,529,0.130 ,7,5,,null,null,null,null,null,null,null,null,null,null,null,,195,Saburodayu,三郎大夫,,0,Aucun,null,,34.669639,135.174528,
601,840,108,C_1,6,26,Hyōgo,,兵庫（地下）,Settsu,salt,Aga,あか・アカ・阿賀,80,koku,,530,0.300 ,7,1,,null,null,null,null,null,null,null,null,null,null,null,,205,Saemongoro,左衛門五郎,あわ屋,0,Aucun,null,,34.669639,135.174528,
602,841,108,C_1,6,26,Hyōgo,,兵庫（地下）,Settsu,cereals,orge,大麦,15,koku,,531,0.445 ,11,8,,null,null,null,null,null,null,null,null,null,null,null,,173,Myozen,妙全,北中辻子,0,Aucun,null,,34.669639,135.174528,
602,842,108,C_1,6,26,Hyōgo,,兵庫（地下）,Settsu,rice,riz,米・コメ,15,koku,,531,0.445 ,11,8,,null,null,null,null,null,null,null,null,null,null,null,,173,Myozen,妙全,北中辻子,0,Aucun,null,,34.669639,135.174528,
603,843,,null,6,26,Utatsu,,宇田津・宇多津,Sanuki,cereals,ble;froment,小麦,15,koku,サヌキ斗,532,0.500 ,6,29,,null,null,null,null,null,null,null,null,null,null,null,,197,Saburogoro,三郎五郎,,TOI20,Hotoku,法徳,,34.308389,133.825722,
603,844,,null,6,26,Utatsu,,宇田津・宇多津,Sanuki,cereals,orge,大麦,50,koku,サヌキ斗,532,0.500 ,6,29,,null,null,null,null,null,null,null,null,null,null,null,,197,Saburogoro,三郎五郎,,TOI20,Hotoku,法徳,,34.308389,133.825722,
604,845,,null,6,26,Hirayama,,平山,Bitchū,cereals,orge,大麦,50,koku,サヌキ斗,533,0.945 ,6,29,九百四十五文代替,null,null,null,null,null,null,null,null,null,null,null,,330,Yoheishiro,与平四郎,,TOI25,Jirozaburo1,二郎三郎,,34.354611,133.577972,
604,846,,null,6,26,Hirayama,,平山,Bitchū,cereals,ble;froment,小麦,30,koku,サヌキ斗,533,0.945 ,6,29,九百四十五文代替,null,null,null,null,null,null,null,null,null,null,null,,330,Yoheishiro,与平四郎,,TOI25,Jirozaburo1,二郎三郎,,34.354611,133.577972,
604,847,,null,6,26,Hirayama,,平山,Bitchū,beans,soja,大豆,20,koku,サヌキ斗,533,0.945 ,6,29,九百四十五文代替,null,null,null,null,null,null,null,null,null,null,null,,330,Yoheishiro,与平四郎,,TOI25,Jirozaburo1,二郎三郎,,34.354611,133.577972,
605,848,,null,6,27,Shishikui,,宍唯・宍咋,Awa,wood/construction materials,bois brut,榑・クレ,120,kokume,,534,0.360 ,7,3,,null,null,null,null,null,null,null,null,null,null,null,,117,Katabeshiro,形部四郎,枝舟,TOI30,Kiya,木屋・木や,,33.567444,134.304861,
606,849,,null,6,27,Hyōgo,,兵庫（地下）,Settsu,wood/construction materials,bois brut,榑・クレ,100,kokume,,200 000,,,,,null,null,null,null,null,null,null,null,null,null,null,,296,Tayuzaburo,大夫三郎,了慶,0,Aucun,null,,34.669639,135.174528,
607,850,,null,6,27,Yura,,由良,Awaji,wood/construction materials,bois brut,榑・クレ,140,kokume,,535,0.400 ,7,6,,null,null,null,null,null,null,null,null,null,null,null,,294,Tayushiro,大夫四郎,,TOI30,Kiya,木屋・木や,,34.29225,134.944639,
608,851,109,B,6,27,Kanno.ura,,甲浦,Tosa,wood/construction materials,bois brut,榑・クレ,120,kokume,,536,0.350 ,7,8,,null,null,null,null,null,null,null,null,null,null,null,,169,Mukubei,木工兵衛,,TOI25,Jirozaburo1,二郎三郎,,33.548389,134.300472,
609,852,109,B,6,27,Kanno.ura,,甲浦,Tosa,wood/construction materials,bois brut,榑・クレ,300,kokume,,537,0.830 ,7,8,,null,null,null,null,null,null,null,null,null,null,null,,234,Shichirozaemon,七郎左衛門,,TOI25,Jirozaburo1,二郎三郎,,33.548389,134.300472,
610,853,109,B,6,27,Kanno.ura,,甲浦,Tosa,wood/construction materials,bois brut,榑・クレ,160,kokume,,538,0.470 ,7,6,,null,null,null,null,null,null,null,null,null,null,null,,0,!Edabune!,枝舟,,TOI25,Jirozaburo1,二郎三郎,,33.548389,134.300472,
611,854,109,B,6,27,Kanno.ura,,甲浦,Tosa,wood/construction materials,bois brut,榑・クレ,220,kokume,,539,0.620 ,7,8,,null,null,null,null,null,null,null,null,null,null,null,,176,Nakajima,中嶋,,TOI25,Jirozaburo1,二郎三郎,,33.548389,134.300472,
612,855,,,6,27,Ushimado,,牛窓,Bizen,wood/construction materials,bois brut,榑・クレ,250,kokume,,540,0.700 ,7,9,,null,null,null,null,null,null,null,null,null,null,null,,319,Umataro,馬太郎,,TOI12,Emonkuro,衛門九郎,,34.61775,134.15775,
613,856,,,6,27,Hyōgo,,兵庫（地下）,Settsu,cereals,orge,大麦,6,koku,サヌキ斗,541,0.100 ,6,27,,null,null,null,null,null,null,null,null,null,null,null,,23,Emonzaburo,衛門三郎,豊後屋,0,Aucun,null,,34.669639,135.174528,
613,857,,,6,27,Hyōgo,,兵庫（地下）,Settsu,cereals,ble;froment,小麦,6,koku,サヌキ斗,541,0.100 ,6,27,,null,null,null,null,null,null,null,null,null,null,null,,23,Emonzaburo,衛門三郎,豊後屋,0,Aucun,null,,34.669639,135.174528,
614,858,,,6,28,Muya,,武屋・撫養,Awa,cereals,ble;froment,小麦,6,koku,サヌキ斗,542,0.120 ,7,2,,null,null,null,null,null,null,null,null,null,null,null,,245,Shiroemon,四郎衛門,,TOI30,Kiya,木屋・木や,,34.178917,134.60425,
615,859,,,6,28,Tsuruhashi,,靍箸,Sanuki,cereals,orge,大麦,50,koku,余十石サヌキ斗,543,0.100 ,6,28,,Kanrei,1000,null,null,null,null,null,null,null,null,管領千石内,,197,Saburogoro,三郎五郎,,TOI12,Emonkuro,衛門九郎,,34.281806,134.2735,
616,860,110,C_1,6,28,Hyōgo,,兵庫（地下）,Settsu,salt,Mihara,三原・三ハら,60,koku,,544,0.210 ,7,3,,null,null,null,null,null,null,null,null,null,null,null,,89,Jirogoro2,次郎五郎,北浜,0,Aucun,null,,34.669639,135.174528,
